Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CIT	12q24.23	9.30	9.20	0.83	0.78	0.10	0.334	0.686	(A) Asian
WDFY1	2q36.1	10.62	10.68	0.49	0.47	-0.06	0.334	0.686	(B) White
ZFP90	16q22.1	8.63	8.70	0.57	0.52	-0.07	0.334	0.686	(B) White
AGPAT4-IT1	6q26	1.60	1.74	1.16	1.14	-0.14	0.334	0.686	(B) White
ANLN	7p14.2	10.43	10.32	0.93	0.96	0.11	0.334	0.686	(A) Asian
TRPS1	8q23.3	8.02	8.19	1.43	1.31	-0.17	0.334	0.686	(B) White
CCDC93	2q14.1	9.74	9.80	0.47	0.48	-0.06	0.334	0.686	(B) White
ZNF621	3p22.1	9.29	9.23	0.52	0.55	0.06	0.334	0.686	(A) Asian
TSEN34	19q13.42	9.64	9.57	0.63	0.53	0.07	0.334	0.687	(A) Asian
FAM174A	5q21.1	7.61	7.70	0.75	0.77	-0.09	0.335	0.687	(B) White
GTF2H2C	5q13.2	8.15	8.22	0.58	0.67	-0.07	0.335	0.687	(B) White
PDE9A	21q22.3	6.04	6.29	2.12	1.97	-0.25	0.335	0.687	(B) White
ANKRD13D	11q13.2	9.05	8.98	0.58	0.66	0.07	0.335	0.687	(A) Asian
IFT20	17q11.2	8.90	8.84	0.55	0.52	0.07	0.335	0.687	(A) Asian
BASP1	5p15.1	8.48	8.63	1.30	1.12	-0.15	0.335	0.687	(B) White
RANBP2	2q13	11.49	11.55	0.52	0.57	-0.06	0.335	0.687	(B) White
KCNK17	6p21.2	2.99	2.82	1.38	1.46	0.17	0.335	0.687	(A) Asian
UBAP2L	1q21.3	11.55	11.59	0.36	0.37	-0.04	0.335	0.687	(B) White
FZD8	10p11.21	7.47	7.63	1.33	1.20	-0.16	0.335	0.687	(B) White
HSDL1	16q24.1	8.39	8.46	0.60	0.55	-0.07	0.335	0.687	(B) White
RALGAPA1	14q13.2	8.68	8.74	0.50	0.54	-0.06	0.335	0.687	(B) White
URB1	21q22.11	9.78	9.86	0.66	0.66	-0.08	0.335	0.687	(B) White
TMEM204	16p13.3	7.68	7.80	1.00	0.91	-0.12	0.335	0.687	(B) White
NSMAF	8q12.1	9.61	9.55	0.51	0.51	0.06	0.335	0.687	(A) Asian
TRIM47	17q25.1	9.27	9.37	0.91	0.81	-0.11	0.336	0.687	(B) White
FPR1	19q13.41	6.26	6.43	1.30	1.67	-0.17	0.336	0.687	(B) White
CERS3	15q26.3	1.11	1.29	1.31	1.98	-0.18	0.336	0.687	(B) White
PLS3	Xq23	11.65	11.73	0.66	0.71	-0.08	0.336	0.687	(B) White
KATNBL1P6	6q24.3	5.17	5.25	0.66	0.66	-0.08	0.336	0.688	(B) White
LRRC20	10q22.1	8.56	8.48	0.64	0.75	0.08	0.336	0.688	(A) Asian
SMC1A	Xp11.22	11.64	11.58	0.57	0.52	0.07	0.336	0.688	(A) Asian
MMD	17q22	8.58	8.48	0.86	0.76	0.10	0.336	0.688	(A) Asian
RUNX2	6p21.1	7.69	7.82	1.11	0.99	-0.13	0.336	0.688	(B) White
IL18RAP	2q12.1	4.32	4.49	1.31	1.41	-0.16	0.336	0.688	(B) White
PDCD11	10q24.33	10.44	10.38	0.55	0.56	0.07	0.336	0.688	(A) Asian
LINC02145	5p15.31	1.05	1.19	1.06	1.27	-0.13	0.336	0.688	(B) White
SHISA4	1q32.1	6.42	6.58	1.39	1.21	-0.16	0.336	0.688	(B) White
ARL4D	17q21.31	5.46	5.68	1.86	1.69	-0.22	0.336	0.688	(B) White
CLNS1A	11q14.1	10.82	10.76	0.57	0.53	0.07	0.336	0.688	(A) Asian
PPP1R16B	20q11.23	7.86	8.04	1.53	1.34	-0.18	0.336	0.688	(B) White
KIAA1614	1q25.3	4.79	4.94	1.26	1.19	-0.15	0.337	0.689	(B) White
STAM2	2q23.3	9.77	9.73	0.34	0.36	0.04	0.337	0.689	(A) Asian
HUS1B	6p25.3	1.78	1.67	0.95	0.82	0.11	0.337	0.689	(A) Asian
DVL2	17p13.1	9.00	9.06	0.44	0.48	-0.05	0.337	0.689	(B) White
ENO1	1p36.23	14.17	14.25	0.66	0.70	-0.08	0.337	0.689	(B) White
VPREB3	22q11.23|22q11	4.37	4.08	2.46	2.19	0.29	0.337	0.689	(A) Asian
METRNL	17q25.3	9.01	9.10	0.77	0.82	-0.09	0.337	0.689	(B) White
PTPRH	19q13.42	9.56	9.75	1.66	1.39	-0.19	0.337	0.689	(B) White
DLG3	Xq13.1	10.21	10.29	0.63	0.67	-0.08	0.337	0.689	(B) White
MAML1	5q35.3	10.25	10.31	0.44	0.40	-0.05	0.337	0.689	(B) White
WDR34	9q34.11	10.50	10.41	0.72	0.71	0.09	0.337	0.689	(A) Asian
LRRK1	15q26.3	9.10	9.20	0.91	0.82	-0.11	0.337	0.689	(B) White
MARCO	2q14.2	4.16	4.46	2.50	2.54	-0.30	0.337	0.689	(B) White
C11ORF65	11q22.3	2.94	2.84	0.88	0.92	0.11	0.338	0.689	(A) Asian
ABR	17p13.3	11.31	11.37	0.44	0.56	-0.06	0.338	0.689	(B) White
PCDHB9	5q31.3	5.60	5.44	1.40	1.31	0.17	0.338	0.689	(A) Asian
HIST1H3I	6p22.1	0.49	0.41	0.62	0.70	0.08	0.338	0.689	(A) Asian
THTPA	14q11.2	7.74	7.67	0.59	0.56	0.07	0.338	0.690	(A) Asian
TNN	1q25.1	4.51	4.76	2.08	2.17	-0.25	0.338	0.690	(B) White
DMTN	8p21.3	9.20	9.32	1.10	0.90	-0.13	0.338	0.690	(B) White
RNF207	1p36.31	7.93	7.81	1.01	1.16	0.13	0.338	0.690	(A) Asian
ITGA7	12q13.2	8.51	8.71	1.72	1.64	-0.20	0.338	0.690	(B) White
TAS1R1	1p36.31	1.26	1.39	1.11	1.13	-0.13	0.339	0.690	(B) White
ZNF578	19q13.41	4.96	4.77	1.64	1.47	0.19	0.339	0.690	(A) Asian
CBWD3	9q21.11	8.62	8.52	0.79	0.88	0.10	0.339	0.690	(A) Asian
PITRM1	10p15.2	10.72	10.78	0.44	0.51	-0.06	0.339	0.690	(B) White
TMEM17	2p15	5.18	5.30	1.08	1.02	-0.13	0.339	0.690	(B) White
GALNT1	18q12.2	11.09	11.16	0.61	0.64	-0.07	0.339	0.690	(B) White
THOC5	22q12.2	9.20	9.16	0.38	0.45	0.05	0.339	0.690	(A) Asian
LOXHD1	18q21.1	2.06	1.90	1.29	1.29	0.15	0.339	0.690	(A) Asian
PIGC	1q24.3	9.42	9.36	0.50	0.47	0.06	0.339	0.690	(A) Asian
ATP11C	Xq27.1	8.87	8.96	0.77	0.65	-0.09	0.339	0.690	(B) White
RNLS	10q23.31	3.88	4.06	1.64	1.30	-0.19	0.339	0.690	(B) White
UFSP2	4q35.1	8.60	8.66	0.51	0.53	-0.06	0.339	0.690	(B) White
KIRREL2	19q13.12	2.23	2.48	2.03	2.16	-0.25	0.339	0.690	(B) White
WDR12	2q33.2	9.25	9.18	0.62	0.61	0.07	0.339	0.690	(A) Asian
FKBP10	17q21.2	10.44	10.62	1.45	1.45	-0.17	0.339	0.690	(B) White
BTG1	12q21.33	11.56	11.48	0.68	0.62	0.08	0.339	0.690	(A) Asian
HSD17B4	5q23.1	10.93	11.00	0.52	0.54	-0.06	0.339	0.690	(B) White
HRAS	11p15.5	8.84	8.77	0.57	0.62	0.07	0.339	0.690	(A) Asian
MAGT1	Xq21.1	11.18	11.23	0.44	0.47	-0.05	0.339	0.690	(B) White
ING4	12p13.31	8.55	8.48	0.59	0.56	0.07	0.339	0.690	(A) Asian
NAALADL2	3q26.31	6.16	6.34	1.60	1.40	-0.19	0.339	0.690	(B) White
HIKESHI	11q14.2	8.95	8.88	0.58	0.58	0.07	0.339	0.690	(A) Asian
AMDHD2	16p13.3	7.33	7.41	0.68	0.68	-0.08	0.339	0.690	(B) White
STX8	17p13.1	8.01	7.94	0.59	0.59	0.07	0.339	0.690	(A) Asian
PTPN12	7q11.23	11.20	11.13	0.57	0.54	0.07	0.339	0.690	(A) Asian
VPREB1	22q11.22	0.39	0.31	0.68	0.47	0.08	0.340	0.690	(A) Asian
ADAT3	19p13.3	6.02	5.93	0.73	0.71	0.09	0.340	0.690	(A) Asian
SEMA6D	15q21.1	6.45	6.65	1.66	1.47	-0.19	0.340	0.690	(B) White
GDPD3	16p11.2	6.85	6.66	1.64	1.62	0.19	0.340	0.690	(A) Asian
WFDC2	20q13.12	7.29	7.70	3.53	3.19	-0.41	0.340	0.691	(B) White
MED13	17q23.2	10.83	10.90	0.57	0.60	-0.07	0.340	0.691	(B) White
AMMECR1L	2q14.3	9.34	9.38	0.35	0.36	-0.04	0.340	0.691	(B) White
RTKN2	10q21.2	7.84	7.69	1.31	0.99	0.15	0.340	0.691	(A) Asian
CS	12q13.3	11.88	11.94	0.45	0.46	-0.05	0.340	0.691	(B) White
TAZ	Xq28	8.75	8.69	0.55	0.53	0.06	0.340	0.691	(A) Asian
CNPY3	6p21.1	10.30	10.37	0.54	0.60	-0.07	0.340	0.691	(B) White
GPRASP2	Xq22.1	6.88	7.00	1.01	1.01	-0.12	0.340	0.691	(B) White
SLC41A2	12q23.3	8.61	8.74	1.09	1.01	-0.13	0.341	0.691	(B) White
PRDM16-DT	1p36.32	4.27	4.48	1.78	1.76	-0.21	0.341	0.691	(B) White
ARMCX1	Xq22.1	7.20	7.36	1.40	1.24	-0.16	0.341	0.691	(B) White
RFC1	4p14	10.18	10.13	0.39	0.42	0.05	0.341	0.691	(A) Asian
EHD1	11q13.1	10.86	10.80	0.55	0.58	0.07	0.341	0.691	(A) Asian
RIOX1	14q24.3	8.16	8.09	0.55	0.55	0.07	0.341	0.691	(A) Asian
C18ORF32	18q21.1	10.01	9.94	0.61	0.58	0.07	0.341	0.691	(A) Asian
CLGN	4q31.1	3.72	3.99	2.28	2.23	-0.27	0.341	0.691	(B) White
CILP	15q22.31	6.68	7.02	2.94	2.67	-0.34	0.341	0.691	(B) White
MECR	1p35.3	8.18	8.12	0.53	0.47	0.06	0.341	0.691	(A) Asian
CLIC2	Xq28	7.60	7.73	1.06	1.01	-0.13	0.341	0.691	(B) White
ZNF23	16q22.2	7.68	7.62	0.47	0.53	0.06	0.341	0.691	(A) Asian
AARS2	6p21.1	9.06	8.98	0.67	0.63	0.08	0.341	0.692	(A) Asian
LETM1	4p16.3	10.47	10.40	0.61	0.62	0.07	0.341	0.692	(A) Asian
SPRY4	5q31.3	9.55	9.65	0.83	0.77	-0.10	0.341	0.692	(B) White
ZNF550	19q13.43	6.88	7.03	1.30	1.08	-0.15	0.341	0.692	(B) White
CXCL16	17p13.2	11.34	11.45	0.96	0.85	-0.11	0.341	0.692	(B) White
CALN1	7q11.22	1.06	1.25	1.58	1.79	-0.19	0.341	0.692	(B) White
GPD2	2q24.1	10.13	10.20	0.67	0.65	-0.08	0.341	0.692	(B) White
MRTFA	22q13.1-q13.2	9.71	9.77	0.51	0.50	-0.06	0.342	0.692	(B) White
CCDC8	19q13.32	6.17	6.40	2.03	1.56	-0.23	0.342	0.692	(B) White
WTIP	19q13.11	6.34	6.49	1.36	1.23	-0.16	0.342	0.692	(B) White
BTBD3	20p12.2	10.26	10.17	0.81	0.73	0.09	0.342	0.692	(A) Asian
LAIR1	19q13.42	8.34	8.48	1.16	1.21	-0.14	0.342	0.693	(B) White
METTL15	11p14.1	8.38	8.33	0.43	0.46	0.05	0.342	0.693	(A) Asian
GBP5	1p22.2	8.30	8.51	1.67	1.82	-0.20	0.342	0.693	(B) White
TPSB2	16p13.3	8.16	8.40	2.11	1.91	-0.24	0.343	0.693	(B) White
AAK1	2p13.3	9.71	9.77	0.56	0.55	-0.07	0.343	0.693	(B) White
EME1	17q21.33	6.68	6.57	0.95	1.01	0.11	0.343	0.693	(A) Asian
COL17A1	10q25.1	8.81	8.50	2.68	2.56	0.31	0.343	0.693	(A) Asian
MOB4	2q33.1	10.16	10.12	0.36	0.38	0.04	0.343	0.693	(A) Asian
GYS2	12p12.1	1.25	1.38	1.00	1.35	-0.13	0.343	0.693	(B) White
CENPU	4q35.1	8.78	8.89	0.87	0.97	-0.11	0.343	0.693	(B) White
MEIOC	17q21.31	3.68	3.55	1.06	1.08	0.13	0.343	0.693	(A) Asian
WDR45	Xp11.23	9.69	9.63	0.51	0.43	0.06	0.343	0.693	(A) Asian
RHOH	4p14	6.81	6.99	1.64	1.36	-0.19	0.343	0.694	(B) White
HSPA13	21q11.2	9.41	9.48	0.52	0.64	-0.07	0.343	0.694	(B) White
H2AFJ	12p12.3	10.02	9.90	1.00	0.92	0.12	0.343	0.694	(A) Asian
FKBP15	9q32	9.76	9.81	0.44	0.43	-0.05	0.343	0.694	(B) White
TPRG1	3q28	4.31	4.47	1.33	1.52	-0.16	0.343	0.694	(B) White
GCAT	22q13.1	7.84	7.73	0.89	0.91	0.11	0.343	0.694	(A) Asian
FAM219A	9p13.3	8.55	8.62	0.60	0.61	-0.07	0.343	0.694	(B) White
ECRG4	2q12.2	4.55	4.93	3.28	3.15	-0.38	0.344	0.694	(B) White
BBS4	15q24.1	7.92	7.99	0.56	0.53	-0.07	0.344	0.694	(B) White
KIF1C	17p13.2	11.83	11.89	0.50	0.57	-0.06	0.344	0.694	(B) White
LTBP1	2p22.3	10.73	10.89	1.38	1.29	-0.16	0.344	0.694	(B) White
RBCK1	20p13	11.04	10.98	0.59	0.56	0.07	0.344	0.694	(A) Asian
PLIN1	15q26.1	3.02	3.25	1.91	2.15	-0.23	0.344	0.694	(B) White
POLR3A	10q22.3	8.79	8.86	0.60	0.64	-0.07	0.344	0.694	(B) White
KIAA0586	14q23.1	8.35	8.29	0.49	0.57	0.06	0.344	0.694	(A) Asian
KCNN3	1q21.3	5.47	5.65	1.51	1.29	-0.17	0.344	0.694	(B) White
GPATCH8	17q21.31	10.32	10.37	0.41	0.39	-0.05	0.344	0.694	(B) White
KCNIP3	2q11.1	5.08	5.30	1.88	1.63	-0.22	0.344	0.694	(B) White
SH3RF3	2q13	7.63	7.77	1.16	1.10	-0.14	0.344	0.694	(B) White
IL18	11q23.1	8.78	8.63	1.30	1.19	0.15	0.344	0.694	(A) Asian
FNIP1	5q31.1	9.41	9.47	0.46	0.52	-0.06	0.344	0.694	(B) White
NLRP12	19q13.42	2.43	2.60	1.50	1.33	-0.17	0.344	0.694	(B) White
ST7-OT4	7q31.2	1.22	1.11	0.87	0.90	0.10	0.344	0.694	(A) Asian
MTHFD2	2p13.1	10.84	10.76	0.70	0.73	0.08	0.344	0.694	(A) Asian
CNN2	19p13.3	11.51	11.42	0.69	0.73	0.08	0.344	0.694	(A) Asian
IQCB1	3q13.33|3q21.1	8.98	8.92	0.48	0.60	0.06	0.344	0.694	(A) Asian
AIRE	21q22.3	0.99	0.82	1.51	1.29	0.17	0.344	0.694	(A) Asian
KDM7A	7q34	9.72	9.81	0.71	0.74	-0.08	0.344	0.694	(B) White
LINC01973	17q25.3	0.86	0.99	1.10	1.15	-0.13	0.344	0.694	(B) White
PKP2	12p11.21	10.44	10.59	1.31	0.93	-0.14	0.345	0.694	(B) White
PIGR	1q32.1	12.63	12.22	3.41	3.62	0.41	0.345	0.694	(A) Asian
ADAM11	17q21.31	2.55	2.70	1.21	1.30	-0.15	0.345	0.695	(B) White
NOS2	17q11.2	5.72	6.07	2.93	2.93	-0.35	0.345	0.695	(B) White
CYP26C1	10q23.33	0.15	0.19	0.32	0.44	-0.04	0.345	0.695	(B) White
SNX22	15q22.31	7.34	7.26	0.73	0.66	0.08	0.345	0.695	(A) Asian
TNNC2	20q13.12	3.68	3.44	2.08	1.99	0.24	0.345	0.695	(A) Asian
GLIS1	1p32.3	2.92	3.10	1.52	1.37	-0.17	0.345	0.695	(B) White
ACOX2	3p14.3	6.11	5.91	1.69	1.66	0.20	0.345	0.695	(A) Asian
ZNF567	19q13.12	6.99	6.90	0.81	0.75	0.09	0.346	0.695	(A) Asian
PFDN1	5q31.3	9.98	9.93	0.44	0.46	0.05	0.346	0.695	(A) Asian
TIMP1	Xp11.3	12.76	12.91	1.27	1.04	-0.14	0.346	0.695	(B) White
SIRPG	20p13	5.70	5.89	1.58	1.58	-0.19	0.346	0.695	(B) White
FCHO2	5q13.2	9.76	9.83	0.60	0.66	-0.07	0.346	0.695	(B) White
MFSD12	19p13.3	10.08	10.14	0.52	0.59	-0.06	0.346	0.695	(B) White
CERS1	19p13.11	2.63	2.84	1.81	1.92	-0.22	0.346	0.695	(B) White
SLC25A6	Xp22.33 and Yp11.2	13.20	13.28	0.66	0.71	-0.08	0.346	0.695	(B) White
TADA1	1q24.1	8.53	8.49	0.41	0.41	0.05	0.346	0.695	(A) Asian
SAMD8	10q22.2	6.58	6.68	0.76	0.83	-0.09	0.346	0.695	(B) White
THY1	11q23.3	11.17	11.31	1.23	1.13	-0.14	0.346	0.696	(B) White
PJVK	2q31.2	3.64	3.51	1.13	1.07	0.13	0.346	0.696	(A) Asian
CTHRC1	8q22.3	9.40	9.58	1.59	1.43	-0.18	0.346	0.696	(B) White
SQLE	8q24.13	9.98	10.12	1.18	1.14	-0.14	0.346	0.696	(B) White
TRIM6	11p15.4	5.09	5.27	1.55	1.32	-0.18	0.346	0.696	(B) White
CD302	2q24.2	9.31	9.45	1.14	1.06	-0.13	0.347	0.696	(B) White
NUDT12	5q21.2	8.60	8.47	1.08	1.17	0.13	0.347	0.696	(A) Asian
ERMAP	1p34.2	7.67	7.75	0.68	0.58	-0.08	0.347	0.696	(B) White
PDE3B	11p15.2	7.59	7.74	1.31	1.31	-0.15	0.347	0.696	(B) White
LINC00472	6q13	2.30	2.47	1.45	1.57	-0.17	0.347	0.696	(B) White
LOC284009	17p13.3	0.77	0.69	0.75	0.69	0.09	0.347	0.696	(A) Asian
MYCNOS	2p24.3	0.50	0.39	0.91	0.75	0.10	0.347	0.697	(A) Asian
CDH1	16q22.1	12.66	12.85	1.78	1.37	-0.20	0.347	0.697	(B) White
TMEM132E	17q12	3.31	3.13	1.52	1.59	0.18	0.347	0.697	(A) Asian
ABI3	17q21.32	7.90	8.02	1.07	0.93	-0.12	0.347	0.697	(B) White
SOAT2	12q13.13	1.63	1.89	2.12	2.29	-0.25	0.347	0.697	(B) White
PWWP2B	10q26.3	8.66	8.75	0.72	0.67	-0.08	0.347	0.697	(B) White
VEGFA	6p21.1	11.23	11.35	1.02	0.91	-0.12	0.347	0.697	(B) White
KIAA1143	3p21.31	9.51	9.46	0.47	0.47	0.06	0.347	0.697	(A) Asian
PLIN3	19p13.3	10.60	10.66	0.50	0.57	-0.06	0.347	0.697	(B) White
LILRB1	19q13.42	6.75	6.91	1.31	1.33	-0.15	0.348	0.697	(B) White
PDXK	21q22.3	11.63	11.56	0.59	0.65	0.07	0.348	0.697	(A) Asian
CSDE1	1p13.2	13.25	13.31	0.45	0.48	-0.05	0.348	0.697	(B) White
NDUFA11	19p13.3	10.48	10.40	0.65	0.61	0.07	0.348	0.698	(A) Asian
CCND2	12p13.32	10.72	10.53	1.55	1.53	0.18	0.349	0.699	(A) Asian
IL5RA	3p26.2	1.05	1.19	1.26	1.18	-0.15	0.349	0.699	(B) White
CRTAP	3p22.3	11.40	11.48	0.66	0.66	-0.08	0.349	0.699	(B) White
IFNGR1	6q23.3	11.06	11.13	0.59	0.66	-0.07	0.349	0.699	(B) White
RUFY3	4q13.3	9.03	8.97	0.53	0.53	0.06	0.349	0.699	(A) Asian
MBTD1	17q21.33	9.23	9.16	0.57	0.69	0.07	0.349	0.700	(A) Asian
ATP6V1A	3q13.31	10.97	10.91	0.47	0.47	0.06	0.349	0.700	(A) Asian
NKX2-3	10q24.2	4.03	3.84	1.69	1.48	0.19	0.349	0.700	(A) Asian
EDNRB	13q22.3	8.14	8.28	1.29	1.17	-0.15	0.349	0.700	(B) White
OIP5	15q15.1	7.29	7.16	1.09	1.02	0.13	0.350	0.700	(A) Asian
AVPI1	10q24.2	8.65	8.76	0.97	0.85	-0.11	0.350	0.700	(B) White
LCA5L	21q22.2	5.00	4.91	0.76	0.73	0.09	0.350	0.700	(A) Asian
LCMT1	16p12.1	9.09	9.14	0.38	0.48	-0.05	0.350	0.700	(B) White
PRDX1	1p34.1	13.15	13.07	0.60	0.61	0.07	0.350	0.700	(A) Asian
GLDN	15q21.2	5.58	5.38	1.71	1.64	0.20	0.350	0.700	(A) Asian
CREBZF	11q14.1	10.47	10.40	0.58	0.70	0.07	0.350	0.700	(A) Asian
DOLK	9q34.11	8.53	8.58	0.48	0.49	-0.06	0.350	0.700	(B) White
MKI67	10q26.2	12.13	12.01	0.97	1.01	0.11	0.350	0.700	(A) Asian
VAMP4	1q24.3	8.39	8.45	0.51	0.53	-0.06	0.350	0.700	(B) White
CLDN2	Xq22.3	8.75	9.10	2.99	2.95	-0.35	0.350	0.700	(B) White
DPP3	11q13.2	10.60	10.54	0.55	0.60	0.07	0.350	0.700	(A) Asian
VASP	19q13.32	11.47	11.40	0.59	0.54	0.07	0.350	0.700	(A) Asian
GAL3ST1	22q12.2	6.43	6.64	1.86	1.52	-0.21	0.350	0.700	(B) White
NDUFB7	19p13.12	10.22	10.15	0.62	0.64	0.07	0.350	0.700	(A) Asian
SLC33A1	3q25.31	9.32	9.38	0.42	0.58	-0.05	0.350	0.700	(B) White
TMEM101	17q21.31	9.02	9.07	0.52	0.48	-0.06	0.350	0.700	(B) White
ROPN1L	5p15.2	1.04	0.93	0.95	0.92	0.11	0.350	0.700	(A) Asian
PNP	14q11.2	10.89	10.81	0.68	0.74	0.08	0.350	0.700	(A) Asian
SCOC	4q31.1	10.26	10.17	0.70	0.93	0.09	0.350	0.700	(A) Asian
KLC1	14q32.33	10.23	10.18	0.44	0.48	0.05	0.350	0.700	(A) Asian
ATG9A	2q35	10.49	10.55	0.45	0.46	-0.05	0.350	0.700	(B) White
FERMT3	11q13.1	8.77	8.90	1.21	1.16	-0.14	0.351	0.700	(B) White
LAMC3	9q34.12	5.21	5.44	1.94	1.92	-0.23	0.351	0.700	(B) White
DNAH12	3p14.3	2.53	2.71	1.54	1.56	-0.18	0.351	0.700	(B) White
WFS1	4p16.1	9.83	9.94	0.97	0.91	-0.11	0.351	0.700	(B) White
PPM1A	14q23.1	10.22	10.27	0.44	0.45	-0.05	0.351	0.700	(B) White
STIMATE	3p21.1	7.15	7.22	0.57	0.54	-0.07	0.351	0.700	(B) White
NTRK2	9q21.33	6.29	6.54	2.26	2.14	-0.26	0.351	0.700	(B) White
DCAF13P3	15q21.2	1.80	1.70	0.80	0.92	0.10	0.351	0.700	(A) Asian
MAMDC2	9q21.12	4.66	4.97	2.72	2.54	-0.31	0.351	0.700	(B) White
LYSMD1	1q21.3	7.37	7.28	0.78	0.56	0.09	0.351	0.700	(A) Asian
IGFBP4	17q21.2	12.69	12.85	1.36	1.28	-0.16	0.351	0.700	(B) White
RNF213	17q25.3	12.40	12.50	0.84	0.87	-0.10	0.351	0.700	(B) White
COL6A1	21q22.3	12.41	12.55	1.23	1.05	-0.14	0.351	0.700	(B) White
AKAP6	14q12	6.19	6.42	2.09	1.87	-0.24	0.351	0.700	(B) White
FNBP1	9q34.11	10.00	10.17	1.50	1.21	-0.17	0.351	0.700	(B) White
RPUSD4	11q24.2	9.14	9.08	0.51	0.47	0.06	0.351	0.700	(A) Asian
OSTCP1	6q25.3	2.80	2.89	0.77	0.79	-0.09	0.351	0.700	(B) White
SUCLG2	3p14.1	10.63	10.55	0.67	0.57	0.07	0.351	0.700	(A) Asian
PRR16	5q23.1	6.07	6.19	0.97	0.96	-0.11	0.351	0.700	(B) White
RGS11	16p13.3	4.86	4.64	1.96	1.64	0.22	0.352	0.700	(A) Asian
NUP210L	1q21.3	0.77	0.88	0.94	0.93	-0.11	0.352	0.700	(B) White
TNFRSF25	1p36.31	7.04	6.90	1.32	1.15	0.15	0.352	0.701	(A) Asian
PCDHGB2	5q31.3	4.78	4.97	1.65	1.66	-0.19	0.352	0.701	(B) White
MMP19	12q13.2	8.56	8.65	0.80	0.76	-0.09	0.352	0.701	(B) White
HMG20A	15q24.3	9.41	9.45	0.36	0.39	-0.04	0.352	0.701	(B) White
TBL1XR1	3q26.32	11.50	11.56	0.49	0.55	-0.06	0.352	0.701	(B) White
ACTR3C	7q36.1	5.94	5.84	0.89	0.94	0.11	0.352	0.701	(A) Asian
CCDC50	3q28	10.60	10.52	0.69	0.65	0.08	0.352	0.701	(A) Asian
SEMA7A	15q24.1	7.77	7.91	1.22	1.19	-0.14	0.352	0.701	(B) White
VENTX	10q26.3	2.99	2.82	1.51	1.16	0.17	0.352	0.701	(A) Asian
SNTA1	20q11.21	7.43	7.59	1.32	1.27	-0.15	0.352	0.701	(B) White
RPL23AP7	2q14.1	6.59	6.51	0.74	0.71	0.09	0.353	0.702	(A) Asian
ALOXE3	17p13.1	2.03	2.21	1.47	1.73	-0.18	0.353	0.702	(B) White
OR1L8	9q33.2	0.56	0.64	0.72	0.70	-0.08	0.353	0.702	(B) White
KRTAP5-9	11q13.4	1.25	1.38	1.08	0.97	-0.12	0.353	0.702	(B) White
CDC23	5q31.2	9.53	9.49	0.39	0.40	0.05	0.353	0.702	(A) Asian
NAA50	3q13.31	11.72	11.67	0.48	0.47	0.06	0.353	0.702	(A) Asian
RPL38	17q25.1	12.43	12.35	0.69	0.81	0.08	0.353	0.702	(A) Asian
GK5	3q23	9.69	9.62	0.65	0.68	0.08	0.353	0.702	(A) Asian
VSNL1	2p24.2	6.74	6.44	2.68	2.45	0.30	0.353	0.702	(A) Asian
ARHGAP5-AS1	14q12	6.17	6.06	0.85	0.93	0.10	0.353	0.702	(A) Asian
LYG1	2q11.2	3.30	3.15	1.29	1.42	0.15	0.353	0.702	(A) Asian
ASCC2	22q12.2	10.15	10.20	0.43	0.45	-0.05	0.353	0.702	(B) White
CCDC6	10q21.2	11.12	11.04	0.67	0.65	0.08	0.353	0.702	(A) Asian
PBX3	9q33.3	8.59	8.72	1.07	0.97	-0.12	0.353	0.702	(B) White
MCM9	6q22.31	6.08	6.15	0.63	0.66	-0.07	0.354	0.702	(B) White
PAFAH1B2	11q23.3	9.09	9.17	0.71	0.61	-0.08	0.354	0.702	(B) White
ZBTB34	9q33.3	8.16	8.22	0.57	0.52	-0.06	0.354	0.702	(B) White
SDSL	12q24.13	7.50	7.59	0.76	0.71	-0.09	0.354	0.702	(B) White
TANGO6	16q22.1	8.05	8.12	0.54	0.54	-0.06	0.354	0.702	(B) White
PAN3	13q12.2	10.01	9.94	0.62	0.57	0.07	0.354	0.702	(A) Asian
DSG2	18q12.1	12.34	12.51	1.55	1.10	-0.17	0.354	0.702	(B) White
EP400P1	12q24.33	6.78	6.72	0.54	0.62	0.07	0.354	0.702	(A) Asian
LGMN	14q32.12	11.47	11.56	0.73	0.71	-0.08	0.354	0.702	(B) White
RRAGB	Xp11.21	7.60	7.52	0.67	0.78	0.08	0.354	0.702	(A) Asian
EXO5	1p34.2	6.83	6.73	0.87	0.85	0.10	0.354	0.702	(A) Asian
CEP70	3q22.3	8.66	8.56	0.89	0.67	0.10	0.354	0.702	(A) Asian
MSLNL	16p13.3	0.67	0.80	1.13	1.26	-0.13	0.354	0.703	(B) White
FNDC9	5q33.3	0.49	0.41	0.71	0.66	0.08	0.354	0.703	(A) Asian
ZNF346	5q35.2	7.73	7.67	0.49	0.42	0.06	0.354	0.703	(A) Asian
ATP1A1	1p13.1	14.11	14.19	0.72	0.74	-0.08	0.355	0.703	(B) White
KLHL6	3q27.1	7.58	7.75	1.60	1.34	-0.18	0.355	0.703	(B) White
NGLY1	3p24.2	9.31	9.26	0.45	0.44	0.05	0.355	0.703	(A) Asian
