Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
ZNF677	19q13.42	5.96	5.90	0.44	0.46	0.06	0.364	0.863	(A) Asian
AIFM1	Xq26.1	9.29	9.34	0.37	0.37	-0.05	0.364	0.863	(B) White
ICK	6p12.1	8.56	8.61	0.40	0.41	-0.06	0.364	0.863	(B) White
EOMES	3p24.1	3.30	3.06	1.71	1.82	0.24	0.364	0.863	(A) Asian
FLG2	1q21.3	0.92	0.81	0.78	0.81	0.11	0.364	0.863	(A) Asian
NMUR1	2q37.1	3.17	3.30	0.87	1.08	-0.13	0.364	0.863	(B) White
MAPK3	16p11.2	10.52	10.48	0.27	0.29	0.04	0.364	0.863	(A) Asian
PSMC4	19q13.2	10.76	10.80	0.30	0.31	-0.04	0.364	0.863	(B) White
TMEM141	9q34.3	10.62	10.71	0.60	0.60	-0.08	0.364	0.863	(B) White
ZNF814	19q13.43	8.44	8.38	0.41	0.51	0.06	0.364	0.863	(A) Asian
KIT	4q12	8.22	7.98	1.66	1.85	0.23	0.364	0.863	(A) Asian
FLG	1q21.3	4.91	4.66	1.76	1.73	0.24	0.364	0.863	(A) Asian
AGPAT3	21q22.3	11.24	11.21	0.22	0.30	0.03	0.365	0.863	(A) Asian
MEGF6	1p36.32	8.22	8.10	0.86	0.90	0.12	0.365	0.863	(A) Asian
TRIM43	2q11.1	0.06	0.09	0.20	0.31	-0.03	0.365	0.863	(B) White
MFSD14B	9q22.32	10.32	10.28	0.31	0.33	0.04	0.365	0.863	(A) Asian
BTBD19	1p34.1	5.57	5.42	1.12	1.00	0.15	0.365	0.863	(A) Asian
PCNX2	1q42.2	9.37	9.23	1.02	0.85	0.14	0.365	0.863	(A) Asian
GALNT16	14q24.1	7.00	6.84	1.14	1.19	0.16	0.365	0.863	(A) Asian
ADORA2A	22q11.23	6.47	6.35	0.86	0.87	0.12	0.365	0.863	(A) Asian
GABARAP	17p13.1	13.06	13.11	0.41	0.41	-0.06	0.365	0.863	(B) White
OR5D13	11q11	0.02	0.00	0.12	0.02	0.02	0.365	0.863	(A) Asian
SLC25A36	3q23	10.35	10.29	0.45	0.46	0.06	0.365	0.863	(A) Asian
OR14C36	1q44	0.02	0.00	0.12	0.02	0.01	0.365	0.863	(A) Asian
VIT	2p22.2	2.09	1.81	2.08	1.85	0.28	0.365	0.863	(A) Asian
HDGF	1q23.1	12.24	12.28	0.26	0.28	-0.04	0.365	0.863	(B) White
SMAD9	13q13.3	6.63	6.83	1.44	1.52	-0.20	0.365	0.863	(B) White
CARNMT1	9q21.13	6.88	7.07	1.40	1.13	-0.19	0.365	0.863	(B) White
GJA4	1p34.3	9.88	10.02	0.94	1.04	-0.13	0.366	0.863	(B) White
LALBA	12q13.11	0.02	0.00	0.11	0.02	0.01	0.366	0.863	(A) Asian
PLTP	20q13.12	9.23	9.37	0.97	1.06	-0.14	0.366	0.863	(B) White
IGSF22	11p15.1	5.38	5.46	0.60	0.76	-0.09	0.366	0.863	(B) White
DCAF13	8q22.3	9.12	9.15	0.21	0.27	-0.03	0.366	0.863	(B) White
LHX3	9q34.3	0.13	0.09	0.29	0.22	0.04	0.366	0.863	(A) Asian
HDGFL1	6p22.3	0.03	0.01	0.12	0.11	0.02	0.366	0.863	(A) Asian
TRIM44	11p13	9.41	9.55	1.01	0.89	-0.14	0.366	0.863	(B) White
MAB21L3	1p13.1	0.71	0.80	0.61	0.75	-0.09	0.366	0.863	(B) White
OR51D1	11p15.4	0.02	0.00	0.12	0.02	0.01	0.366	0.863	(A) Asian
GBP5	1p22.2	6.64	6.38	1.82	1.97	0.25	0.366	0.863	(A) Asian
MAPK8IP3	16p13.3	9.96	9.86	0.73	0.71	0.10	0.366	0.863	(A) Asian
CRTC1	19p13.11	10.24	10.17	0.47	0.55	0.07	0.366	0.863	(A) Asian
NAXD	13q34	10.21	10.17	0.33	0.42	0.05	0.366	0.863	(A) Asian
CDC42BPB	14q32.32	11.56	11.61	0.40	0.38	-0.06	0.366	0.863	(B) White
WNT9B	17q21.32	2.34	2.20	0.99	1.12	0.14	0.366	0.863	(A) Asian
MON1B	16q23.1	9.25	9.29	0.32	0.38	-0.05	0.366	0.863	(B) White
WRAP53	17p13.1	7.45	7.39	0.40	0.44	0.06	0.366	0.863	(A) Asian
ZRSR2	Xp22.2	8.66	8.60	0.47	0.47	0.07	0.366	0.863	(A) Asian
LTF	3p21.31	6.69	6.40	2.11	1.92	0.29	0.366	0.863	(A) Asian
UCP2	11q13.4	12.38	12.49	0.83	0.86	-0.12	0.366	0.863	(B) White
SENP2	3q27.2	9.53	9.58	0.34	0.35	-0.05	0.366	0.863	(B) White
JAM2	21q21.3	7.11	7.00	0.80	0.90	0.11	0.366	0.863	(A) Asian
SKA1	18q21.1	3.78	3.67	0.75	0.97	0.11	0.366	0.863	(A) Asian
CLBA1	14q32.33	8.93	8.87	0.39	0.54	0.06	0.366	0.863	(A) Asian
ZNF513	2p23.3	9.01	8.95	0.46	0.44	0.06	0.366	0.863	(A) Asian
IER5L	9q34.11	8.97	8.82	1.11	1.28	0.16	0.366	0.863	(A) Asian
OR51Q1	11p15.4	0.01	0.02	0.07	0.11	-0.01	0.366	0.863	(B) White
CASC1	12p12.1	5.88	5.97	0.63	0.82	-0.09	0.366	0.863	(B) White
NEURL1B	5q35.1	9.07	8.97	0.72	0.75	0.10	0.367	0.863	(A) Asian
CXCR2	2q35	2.72	2.85	0.96	1.16	-0.14	0.367	0.863	(B) White
AK9	6q21	7.34	7.41	0.51	0.52	-0.07	0.367	0.863	(B) White
PGM5P2	9p11.2	1.62	1.50	0.94	0.78	0.13	0.367	0.863	(A) Asian
NSMCE1	16p12.1	10.39	10.46	0.45	0.47	-0.06	0.367	0.863	(B) White
ARL4C	2q37.1	7.69	7.84	1.05	1.34	-0.15	0.367	0.863	(B) White
PKLR	1q22	0.62	0.52	0.78	0.79	0.11	0.367	0.863	(A) Asian
TET3	2p13.1	9.06	8.97	0.63	0.58	0.09	0.367	0.863	(A) Asian
RND1	12q13.12	6.82	6.66	1.19	1.11	0.16	0.367	0.863	(A) Asian
KCTD2	17q25.1	10.33	10.29	0.32	0.39	0.05	0.367	0.863	(A) Asian
MTTP	4q23	1.10	1.22	0.84	0.90	-0.12	0.367	0.863	(B) White
TRIO	5p15.2	9.04	9.16	0.89	0.91	-0.12	0.367	0.863	(B) White
MAN1C1	1p36.11	9.92	9.82	0.73	0.82	0.10	0.367	0.863	(A) Asian
COL9A2	1p34.2	7.92	7.78	0.95	1.15	0.13	0.367	0.863	(A) Asian
ADAM10	15q21.3	10.19	10.32	0.93	0.91	-0.13	0.367	0.863	(B) White
SORL1	11q24.1	10.98	10.86	0.84	0.98	0.12	0.367	0.863	(A) Asian
PAX3	2q36.1	0.13	0.18	0.33	0.40	-0.05	0.367	0.863	(B) White
C1QTNF9	13q12.12	1.70	1.82	0.88	1.02	-0.12	0.367	0.863	(B) White
TMEM106A	17q21.31	7.29	7.36	0.51	0.44	-0.07	0.367	0.863	(B) White
CD48	1q23.3	6.87	6.69	1.25	1.59	0.18	0.368	0.863	(A) Asian
GPR22	7q22.3	0.33	0.39	0.42	0.46	-0.06	0.368	0.863	(B) White
BNIP5	6p21.31	0.47	0.56	0.63	0.75	-0.09	0.368	0.863	(B) White
HIPK1	1p13.2	10.84	10.92	0.58	0.51	-0.08	0.368	0.863	(B) White
RTTN	18q22.2	6.97	6.92	0.37	0.44	0.05	0.368	0.863	(A) Asian
ARFGAP2	11p11.2	11.04	11.01	0.23	0.24	0.03	0.368	0.863	(A) Asian
PCDHB1	5q31.3	0.26	0.18	0.59	0.41	0.08	0.368	0.863	(A) Asian
ARMC5	16p11.2	8.93	8.85	0.56	0.55	0.08	0.368	0.863	(A) Asian
OBP2A	9q34.3	0.66	0.54	0.87	1.01	0.12	0.368	0.863	(A) Asian
PRR23B	3q23	0.08	0.03	0.35	0.17	0.05	0.368	0.863	(A) Asian
ATP2A2	12q24.11	12.29	12.23	0.43	0.50	0.06	0.368	0.863	(A) Asian
ZC3H11A	1q32.1	11.65	11.61	0.28	0.28	0.04	0.368	0.863	(A) Asian
NSMAF	8q12.1	9.62	9.58	0.31	0.28	0.04	0.368	0.863	(A) Asian
UPRT	Xq13.3	8.23	8.20	0.22	0.26	0.03	0.368	0.863	(A) Asian
SERPINA12	14q32.13	0.03	0.06	0.15	0.20	-0.02	0.368	0.863	(B) White
KLF1	19p13.13	0.96	0.87	0.60	0.58	0.08	0.368	0.863	(A) Asian
TMEM139	7q34	6.27	5.98	2.07	2.21	0.29	0.368	0.863	(A) Asian
RPH3A	12q24.13	2.03	1.78	1.92	1.41	0.26	0.368	0.863	(A) Asian
USP53	4q26	8.47	8.55	0.57	0.64	-0.08	0.368	0.863	(B) White
C9ORF64	9q21.32	8.91	8.97	0.43	0.45	-0.06	0.369	0.863	(B) White
SYTL1	1p36.11	10.43	10.31	0.86	0.92	0.12	0.369	0.863	(A) Asian
CDK5RAP1	20q11.21	9.02	9.05	0.21	0.28	-0.03	0.369	0.863	(B) White
ZMYM4	1p34.3	10.33	10.37	0.30	0.32	-0.04	0.369	0.863	(B) White
ATG10	5q14.1-q14.2	6.91	6.98	0.45	0.50	-0.06	0.369	0.863	(B) White
DENR	12q24.31	10.33	10.30	0.20	0.22	0.03	0.369	0.863	(A) Asian
CCN4	8q24.22	3.55	3.81	1.91	1.97	-0.26	0.369	0.863	(B) White
TXNDC9	2q11.2	8.83	8.88	0.29	0.32	-0.04	0.369	0.863	(B) White
QSOX1	1q25.2	11.26	11.36	0.72	0.85	-0.10	0.369	0.863	(B) White
GRB7	17q12	9.53	9.40	0.87	1.05	0.12	0.369	0.863	(A) Asian
CDH20	18q21.33	1.90	2.09	1.39	1.51	-0.19	0.369	0.863	(B) White
NEK4	3p21.1	8.89	8.96	0.49	0.43	-0.07	0.369	0.863	(B) White
HSPA8	11q24.1	13.97	13.87	0.70	0.69	0.10	0.369	0.863	(A) Asian
GXYLT2	3p13	7.45	7.53	0.61	0.80	-0.09	0.369	0.863	(B) White
FGFBP1	4p15.32	5.12	5.48	2.54	2.67	-0.35	0.369	0.863	(B) White
FGFRL1	4p16.3	11.72	11.66	0.43	0.49	0.06	0.369	0.863	(A) Asian
TIAF1	17q11.2	7.92	7.82	0.76	0.82	0.11	0.369	0.863	(A) Asian
RBMXL3	Xq23	0.03	0.04	0.10	0.14	-0.01	0.369	0.863	(B) White
KLHL40	3p22.1	0.49	0.41	0.56	0.78	0.08	0.369	0.863	(A) Asian
SMIM14	4p14	9.73	9.79	0.42	0.60	-0.06	0.369	0.863	(B) White
POLR2J	7q22.1	10.09	10.16	0.54	0.57	-0.07	0.369	0.863	(B) White
ZNF768	16p11.2	10.10	10.06	0.30	0.32	0.04	0.369	0.863	(A) Asian
KANK3	19p13.2	8.33	8.24	0.68	0.72	0.09	0.369	0.863	(A) Asian
NSDHL	Xq28	8.90	8.94	0.27	0.32	-0.04	0.369	0.863	(B) White
PDLIM2	8p21.3	8.25	8.17	0.57	0.63	0.08	0.369	0.863	(A) Asian
ZNF213	16p13.3	9.25	9.19	0.40	0.37	0.05	0.369	0.863	(A) Asian
CCL8	17q12	4.30	4.12	1.29	1.43	0.18	0.369	0.863	(A) Asian
DBX2	12q12	0.54	0.44	0.81	0.63	0.11	0.369	0.863	(A) Asian
DISP3	1p36.22	1.64	1.76	0.84	1.01	-0.12	0.369	0.864	(B) White
ORC3	6q15	9.13	9.08	0.35	0.29	0.05	0.370	0.864	(A) Asian
SNORA26	4q12	0.01	0.03	0.09	0.14	-0.01	0.370	0.864	(B) White
ADGRE4P	19p13.2	2.43	2.27	1.10	1.27	0.15	0.370	0.864	(A) Asian
SPRR3	1q21.3	0.60	0.74	1.02	1.23	-0.14	0.370	0.864	(B) White
DRAIC	15q23	2.81	2.70	0.81	0.86	0.11	0.370	0.864	(A) Asian
PAX9	14q13.3	6.21	5.90	2.30	1.90	0.31	0.370	0.864	(A) Asian
ERP44	9q31.1	10.90	10.86	0.32	0.35	0.04	0.370	0.864	(A) Asian
TSPAN12	7q31.31	9.14	9.25	0.80	0.77	-0.11	0.370	0.864	(B) White
ACP2	11p11.2|11p12-p11	9.92	9.97	0.35	0.33	-0.05	0.370	0.865	(B) White
MARK3	14q32.32-q32.33	10.22	10.25	0.16	0.25	-0.02	0.371	0.865	(B) White
ZFP14	19q13.12	8.26	8.22	0.33	0.39	0.05	0.371	0.865	(A) Asian
PEG3-AS1	19q13.43	0.30	0.22	0.56	0.55	0.08	0.371	0.865	(A) Asian
ARPC3	12q24.11	11.81	11.86	0.32	0.40	-0.05	0.371	0.865	(B) White
CHCHD6	3q21.3	7.49	7.55	0.44	0.49	-0.06	0.371	0.865	(B) White
CDHR2	5q35.2	0.26	0.32	0.42	0.42	-0.06	0.371	0.865	(B) White
PNP	14q11.2	10.28	10.45	1.18	1.43	-0.17	0.371	0.865	(B) White
TWIST2	2q37.3	2.39	2.21	1.34	1.23	0.18	0.371	0.865	(A) Asian
CHODL-AS1	21q21.1	0.01	0.00	0.10	0.02	0.01	0.371	0.865	(A) Asian
FOXC1	6p25.3	7.20	7.30	0.75	0.90	-0.11	0.371	0.865	(B) White
RNF227	17p13.1	6.48	6.42	0.44	0.49	0.06	0.371	0.865	(A) Asian
WWTR1	3q25.1	8.28	8.17	0.82	0.80	0.11	0.371	0.865	(A) Asian
EPB41L3	18p11.31	7.75	7.88	0.90	1.02	-0.13	0.371	0.865	(B) White
CD300A	17q25.1	6.08	6.19	0.73	1.07	-0.11	0.371	0.865	(B) White
SYT14	1q32.2	6.96	7.11	1.04	1.18	-0.14	0.371	0.865	(B) White
ULK4P3	15q13.2	3.83	3.75	0.55	0.77	0.08	0.371	0.865	(A) Asian
AQP12A	2q37.3	0.04	0.06	0.18	0.35	-0.03	0.371	0.865	(B) White
RAB6C	2q21.1	5.87	5.80	0.53	0.58	0.07	0.371	0.865	(A) Asian
EIF3CL	16p12.1	13.77	13.83	0.47	0.45	-0.06	0.371	0.865	(B) White
CCDC84	11q23.3	7.40	7.31	0.65	0.64	0.09	0.371	0.865	(A) Asian
SLC36A3	5q33.1	0.10	0.07	0.26	0.20	0.03	0.372	0.865	(A) Asian
OR4F6	15q26.3	0.03	0.01	0.13	0.06	0.02	0.372	0.865	(A) Asian
MOGAT2	11q13.5	0.15	0.19	0.28	0.55	-0.05	0.372	0.865	(B) White
NGDN	14q11.2	8.97	8.94	0.27	0.29	0.04	0.372	0.865	(A) Asian
WDCP	2p23.3	7.05	6.99	0.44	0.42	0.06	0.372	0.866	(A) Asian
PRR21	2q37.3	0.05	0.02	0.17	0.13	0.02	0.372	0.866	(A) Asian
WDR12	2q33.2	7.98	8.04	0.40	0.36	-0.05	0.372	0.866	(B) White
ZBTB4	17p13.1	12.35	12.32	0.21	0.27	0.03	0.372	0.866	(A) Asian
TREML1	6p21.1	1.79	1.68	0.77	1.03	0.11	0.372	0.866	(A) Asian
AMOTL2	3q22.2	10.99	10.93	0.43	0.54	0.06	0.372	0.866	(A) Asian
TNRC6A	16p12.1	10.08	10.02	0.44	0.45	0.06	0.372	0.866	(A) Asian
GIT1	17q11.2	10.76	10.72	0.27	0.27	0.04	0.372	0.866	(A) Asian
SCARA3	8p21.1	11.64	11.45	1.42	1.60	0.20	0.372	0.866	(A) Asian
H2AFX	11q23.3	9.38	9.26	0.87	0.70	0.12	0.372	0.866	(A) Asian
ZNF415	19q13.42	8.14	8.09	0.34	0.37	0.05	0.372	0.866	(A) Asian
SNHG7	9q34.3	10.66	10.55	0.83	0.84	0.11	0.373	0.866	(A) Asian
TGFBRAP1	2q12.1-q12.2	7.68	7.85	1.28	1.12	-0.17	0.373	0.866	(B) White
AFDN-DT	6q27	4.93	4.82	0.83	0.90	0.11	0.373	0.866	(A) Asian
SFXN4	10q26.11	8.69	8.61	0.60	0.53	0.08	0.373	0.866	(A) Asian
ZPLD1	3q12.3	1.73	1.90	1.19	1.39	-0.17	0.373	0.866	(B) White
SKIL	3q26.2	8.35	8.46	0.80	0.86	-0.11	0.373	0.866	(B) White
BEST2	19p13.13	0.11	0.14	0.21	0.26	-0.03	0.373	0.866	(B) White
MOK	14q32.31	7.42	7.35	0.55	0.68	0.08	0.373	0.866	(A) Asian
ZNF772	19q13.43	8.66	8.61	0.34	0.45	0.05	0.373	0.866	(A) Asian
IDO1	8p11.21	5.42	5.70	2.06	2.21	-0.28	0.373	0.866	(B) White
CLTA	9p13.3	12.07	12.13	0.45	0.44	-0.06	0.373	0.866	(B) White
PACC1	1q32.3	6.46	6.51	0.34	0.49	-0.05	0.373	0.866	(B) White
CCDC58	3q21.1	7.23	7.17	0.46	0.43	0.06	0.373	0.866	(A) Asian
ASNSD1	2q32.2	9.76	9.73	0.22	0.22	0.03	0.373	0.866	(A) Asian
GPR151	5q32	0.04	0.06	0.15	0.24	-0.02	0.373	0.866	(B) White
ISCU	12q23.3	12.11	12.06	0.31	0.42	0.04	0.373	0.867	(A) Asian
ABCC9	12p12.1	6.69	6.84	1.13	1.14	-0.15	0.373	0.867	(B) White
NDST1	5q33.1	11.65	11.60	0.33	0.41	0.05	0.374	0.867	(A) Asian
PIAS4	19p13.3	7.68	7.73	0.42	0.30	-0.06	0.374	0.867	(B) White
LRRC71	1q23.1	0.50	0.35	1.11	0.50	0.14	0.374	0.867	(A) Asian
KLHDC8B	3p21.31	10.12	10.07	0.36	0.48	0.05	0.374	0.867	(A) Asian
TIAL1	10q26.11	10.34	10.31	0.21	0.21	0.03	0.374	0.867	(A) Asian
TMED5	1p22.1	10.47	10.53	0.45	0.47	-0.06	0.374	0.867	(B) White
PLA2R1	2q24.2	8.08	7.86	1.59	1.48	0.22	0.374	0.867	(A) Asian
EFCAB8	20q11.21	1.05	1.16	0.81	0.79	-0.11	0.374	0.867	(B) White
ARHGEF40	14q11.2	10.84	10.77	0.49	0.71	0.07	0.374	0.867	(A) Asian
LARP1B	4q28.2	8.39	8.47	0.54	0.47	-0.07	0.374	0.867	(B) White
NR2F2	15q26.2	9.38	9.29	0.71	0.58	0.09	0.374	0.867	(A) Asian
TP53I11	11p11.2	10.09	10.00	0.67	0.85	0.09	0.374	0.867	(A) Asian
CCR6	6q27	5.67	5.81	0.99	1.15	-0.14	0.374	0.867	(B) White
HJURP	2q37.1	4.42	4.28	0.94	1.17	0.13	0.374	0.867	(A) Asian
RSPH14	22q11.22-q11.23	3.31	3.43	0.86	0.86	-0.12	0.374	0.867	(B) White
MELTF	3q29	7.67	7.85	1.30	1.47	-0.18	0.374	0.867	(B) White
CD59	11p13	13.80	13.74	0.40	0.49	0.06	0.374	0.867	(A) Asian
OCEL1	19p13.11	8.17	8.25	0.56	0.60	-0.08	0.374	0.867	(B) White
TPI1	12p13.31	12.32	12.37	0.33	0.35	-0.05	0.374	0.867	(B) White
ARRB2	17p13.2	8.61	8.69	0.56	0.66	-0.08	0.374	0.867	(B) White
HACE1	6q16.3	7.77	7.71	0.50	0.54	0.07	0.374	0.867	(A) Asian
ARSJ	4q26	6.27	6.08	1.35	1.68	0.19	0.375	0.867	(A) Asian
CD300LG	17q21.31	2.51	2.73	1.60	1.78	-0.22	0.375	0.867	(B) White
SOWAHA	5q31.1	6.86	6.72	0.95	1.30	0.14	0.375	0.867	(A) Asian
RNF130	5q35.3	10.53	10.49	0.28	0.28	0.04	0.375	0.867	(A) Asian
LRRC40	1p31.1	7.77	7.83	0.44	0.42	-0.06	0.375	0.867	(B) White
BORA	13q21.33	6.16	6.07	0.65	0.61	0.09	0.375	0.867	(A) Asian
N4BP2	4p14	6.63	6.82	1.40	1.28	-0.19	0.375	0.867	(B) White
NECAP2	1p36.13	10.52	10.56	0.25	0.29	-0.04	0.375	0.867	(B) White
HINFP	11q23.3	8.52	8.48	0.24	0.25	0.03	0.375	0.867	(A) Asian
DDT	22q11.23	9.24	9.31	0.53	0.58	-0.07	0.375	0.867	(B) White
TBRG4	7p13	9.52	9.56	0.24	0.33	-0.03	0.375	0.867	(B) White
FRG1	4q35.2	9.33	9.28	0.35	0.34	0.05	0.375	0.867	(A) Asian
ANKLE1	19p13.11	3.00	2.89	0.80	0.93	0.11	0.375	0.867	(A) Asian
PACRG-AS1	6q26	0.25	0.30	0.35	0.41	-0.05	0.375	0.867	(B) White
CFAP299	4q21.21	0.51	0.44	0.54	0.56	0.07	0.375	0.867	(A) Asian
FUCA1	1p36.11	11.89	11.95	0.40	0.50	-0.06	0.375	0.867	(B) White
AFAP1-AS1	4p16.1	2.02	2.13	0.76	0.82	-0.10	0.375	0.867	(B) White
WDTC1	1p36.11	11.54	11.50	0.31	0.32	0.04	0.376	0.867	(A) Asian
ZFP64	20q13.2	8.20	8.15	0.36	0.35	0.05	0.376	0.867	(A) Asian
SPTLC2	14q24.3	9.83	9.91	0.59	0.61	-0.08	0.376	0.867	(B) White
EIF2AK4	15q15.1	10.16	10.21	0.32	0.32	-0.04	0.376	0.867	(B) White
CASP2	7q34	9.31	9.28	0.22	0.34	0.03	0.376	0.867	(A) Asian
VAX2	2p13.3	1.54	1.68	1.03	0.93	-0.14	0.376	0.867	(B) White
ATP6V1H	8q11.23	10.39	10.44	0.33	0.30	-0.04	0.376	0.867	(B) White
TACR3	4q24	0.18	0.14	0.37	0.32	0.05	0.376	0.867	(A) Asian
UBE2K	4p14	10.66	10.69	0.21	0.23	-0.03	0.376	0.867	(B) White
FHL2	2q12.2	8.00	8.14	0.98	1.20	-0.14	0.376	0.867	(B) White
EMB	5q11.1	11.34	11.24	0.72	0.77	0.10	0.376	0.867	(A) Asian
SLC22A25	11q12.3	0.02	0.03	0.08	0.16	-0.01	0.376	0.867	(B) White
NUP133	1q42.13	9.94	9.98	0.34	0.33	-0.05	0.376	0.868	(B) White
PTPRD	9p24.1-p23	7.51	7.23	2.05	2.23	0.28	0.377	0.869	(A) Asian
TOR1AIP2	1q25.2	8.01	8.12	0.80	0.83	-0.11	0.377	0.869	(B) White
SDC3	1p35.2	11.42	11.32	0.77	0.78	0.10	0.377	0.869	(A) Asian
PPP2R2C	4p16.1	1.82	2.04	1.65	1.72	-0.22	0.377	0.869	(B) White
CELSR2	1p13.3	11.46	11.53	0.52	0.59	-0.07	0.377	0.869	(B) White
WNK1	12p13.33	2.81	2.93	0.84	1.00	-0.12	0.377	0.869	(B) White
CKAP2	13q14.3	7.99	8.06	0.51	0.58	-0.07	0.377	0.869	(B) White
PCMTD1	8q11.23	10.56	10.61	0.38	0.42	-0.05	0.377	0.869	(B) White
SGPL1	10q22.1	11.06	11.12	0.46	0.44	-0.06	0.377	0.869	(B) White
TMSB15B	Xq22.2	4.42	4.30	0.85	0.90	0.12	0.377	0.869	(A) Asian
MS4A2	11q12.1	2.10	2.29	1.36	1.51	-0.19	0.377	0.869	(B) White
CYP7A1	8q12.1	0.62	0.56	0.45	0.49	0.06	0.377	0.869	(A) Asian
NUP155	5p13.2	7.76	7.85	0.63	0.64	-0.09	0.377	0.869	(B) White
STOML1	15q24.1	9.03	8.97	0.44	0.49	0.06	0.377	0.869	(A) Asian
PIANP	12p13.31	5.67	5.47	1.49	1.63	0.20	0.377	0.869	(A) Asian
RFPL2	22q12.3	0.92	1.03	0.80	0.87	-0.11	0.377	0.869	(B) White
QSOX2	9q34.3	9.42	9.35	0.48	0.62	0.07	0.378	0.869	(A) Asian
ZNF384	12p13.31	10.19	10.16	0.26	0.23	0.03	0.378	0.869	(A) Asian
NT5DC1	6q22.1	9.71	9.76	0.38	0.39	-0.05	0.378	0.869	(B) White
LRFN4	11q13.2	6.90	6.81	0.59	0.85	0.09	0.378	0.869	(A) Asian
DANCR	4q12	9.26	9.19	0.51	0.59	0.07	0.378	0.869	(A) Asian
ASCC2	22q12.2	10.61	10.64	0.27	0.35	-0.04	0.378	0.869	(B) White
SMIM19	8p11.21	9.59	9.55	0.35	0.44	0.05	0.378	0.869	(A) Asian
COL6A2	21q22.3	11.96	11.82	1.02	1.14	0.14	0.378	0.869	(A) Asian
SOX3	Xq27.1	1.35	1.64	2.06	2.37	-0.28	0.378	0.869	(B) White
BRDT	1p22.1	0.15	0.20	0.36	0.36	-0.05	0.378	0.869	(B) White
CLIC5	6p21.1	9.08	8.90	1.33	1.38	0.18	0.378	0.869	(A) Asian
STRA8	7q33	0.06	0.03	0.23	0.14	0.03	0.378	0.869	(A) Asian
TMSB15A	Xq22.1	3.33	3.16	1.26	1.21	0.17	0.378	0.869	(A) Asian
SPSB3	16p13.3	9.98	9.91	0.51	0.49	0.07	0.378	0.869	(A) Asian
PARP3	3p21.2	9.39	9.35	0.33	0.31	0.04	0.379	0.869	(A) Asian
PITPNM2	12q24.31	7.52	7.45	0.48	0.63	0.07	0.379	0.869	(A) Asian
MLEC	12q24.31	12.43	12.48	0.39	0.57	-0.06	0.379	0.869	(B) White
LRMDA	10q22.2-q22.3	7.34	7.41	0.49	0.55	-0.07	0.379	0.869	(B) White
SH2D1A	Xq25	4.33	4.11	1.52	1.85	0.21	0.379	0.869	(A) Asian
TAF2	8q24.12	8.74	8.81	0.59	0.53	-0.08	0.379	0.869	(B) White
RHPN2	19q13.11	7.48	7.59	0.79	0.69	-0.11	0.379	0.869	(B) White
SELENOP	5p12	11.67	11.57	0.71	0.73	0.10	0.379	0.869	(A) Asian
ARFIP2	11p15.4	10.22	10.25	0.24	0.28	-0.03	0.379	0.869	(B) White
DNAJB11	3q27.3	10.53	10.46	0.50	0.49	0.07	0.379	0.869	(A) Asian
LRP2BP	4q35.1	6.91	6.80	0.84	0.73	0.11	0.379	0.869	(A) Asian
EXOSC4	8q24.3	8.39	8.46	0.56	0.59	-0.08	0.379	0.869	(B) White
KLF10	8q22.3	10.27	10.19	0.59	0.65	0.08	0.379	0.869	(A) Asian
TENT4B	16q12.1	8.51	8.56	0.33	0.34	-0.04	0.379	0.869	(B) White
C17ORF77	17q25.1	0.05	0.03	0.17	0.14	0.02	0.379	0.869	(A) Asian
SUGP2	19p13.11	10.65	10.59	0.40	0.43	0.05	0.379	0.869	(A) Asian
CHKB-CPT1B	22q13.33	9.03	8.88	1.12	1.00	0.15	0.379	0.869	(A) Asian
PTPN3	9q31.3	9.78	9.72	0.43	0.44	0.06	0.379	0.869	(A) Asian
B3GALT5	21q22.2	2.07	2.27	1.47	1.58	-0.20	0.379	0.869	(B) White
ZFAND1	8q21.13	9.31	9.36	0.36	0.33	-0.05	0.379	0.869	(B) White
LLGL1	17p11.2	9.76	9.67	0.62	0.71	0.09	0.379	0.869	(A) Asian
IL34	16q22.1	7.22	7.35	0.94	1.00	-0.13	0.379	0.869	(B) White
RGS10	10q26.11	8.44	8.55	0.85	0.87	-0.11	0.379	0.869	(B) White
SAP130	2q14.3	9.11	9.08	0.25	0.27	0.03	0.379	0.869	(A) Asian
ELSPBP1	19q13.33	0.01	0.02	0.06	0.22	-0.01	0.379	0.869	(B) White
ZNF711	Xq21.1	7.45	7.36	0.65	0.74	0.09	0.379	0.869	(A) Asian
SARDH	9q34.2	6.37	6.24	0.93	1.18	0.13	0.379	0.869	(A) Asian
SFXN5	2p13.2	8.18	8.24	0.44	0.43	-0.06	0.379	0.869	(B) White
U2AF2	19q13.42	11.60	11.57	0.22	0.22	0.03	0.379	0.869	(A) Asian
PPP2R2B	5q32	5.32	5.17	1.11	1.21	0.15	0.379	0.869	(A) Asian
FERMT2	14q22.1	10.19	10.13	0.40	0.41	0.05	0.379	0.869	(A) Asian
TMCC1	3q22.1	9.44	9.48	0.25	0.32	-0.04	0.380	0.869	(B) White
SYNGR2	17q25.3	11.67	11.72	0.39	0.43	-0.05	0.380	0.869	(B) White
AMZ1	7p22.3	2.13	2.25	0.84	1.13	-0.12	0.380	0.869	(B) White
